,name,province,climate_id,station_id,wmo_id,tc_id,latitude_decimal_degrees,longitude_decimal_degrees,latitude,longitude,elevation_m,start_date,end_date,T_high_avg_nan,T_min_nan,T_low_avg_nan,T_max_nan,period_T_low_nan,period_T_high_nan,T_min_year_nan,day_nan,T_max_year_nan,month_nan,n_almanac_rows
31,DISCOVERY ISLAND,BRITISH COLUMBIA,1012475,27226,71031.0,WDR,48.42,-123.23,482528590.0,-1231332519.0,18.93,1997.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
32,DUNCAN,BRITISH COLUMBIA,1012550,42,,,48.78,-123.72,484700000.0,-1234300000.0,8.5,1926.0,1957.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
33,DUNCAN BCHPA VIT,BRITISH COLUMBIA,1012562,43,,,48.83,-123.72,485000000.0,-1234300000.0,36.0,1972.0,1976.0,366.0,0.0,366.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,33
34,DUNCAN EAST,BRITISH COLUMBIA,1012566,44,,,48.78,-123.68,484700000.0,-1234100000.0,7.6,1960.0,1964.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,34
35,DUNCAN FORESTRY,BRITISH COLUMBIA,1012570,45,,,48.77,-123.68,484600000.0,-1234100000.0,6.0,1958.0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
36,DUNCAN KELVIN CREEK,BRITISH COLUMBIA,1012573,46,,,48.73,-123.73,484405000.0,-1234339001.0,103.0,1987.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
37,DUNCANS,BRITISH COLUMBIA,1012576,8001,,,48.75,-123.5,484500000.0,-1233000000.0,12.2,,,,,,,,,,,,,37
38,EAST SOOKE ANDERSON COVE,BRITISH COLUMBIA,1012628,47,,,48.35,-123.63,482100000.0,-1233800000.0,36.6,1966.0,1980.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
39,ELK LAKE,BRITISH COLUMBIA,1012655,48,,,48.52,-123.38,483100000.0,-1232300000.0,114.3,1957.0,1978.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
40,ELK LAKE 2,BRITISH COLUMBIA,1012656,49,,,48.53,-123.38,483200000.0,-1232300000.0,53.0,1980.0,1986.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,40
41,ESQUIMALT,BRITISH COLUMBIA,1012700,50,,,48.43,-123.42,482600000.0,-1232500000.0,13.7,1872.0,1950.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
42,ESQUIMALT LAGOON,BRITISH COLUMBIA,1012707,51,,,48.42,-123.47,482500000.0,-1232800000.0,15.2,1976.0,1978.0,366.0,366.0,366.0,366.0,1.0,1.0,366.0,1.0,366.0,1.0,42
43,ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,71798.0,WPF,48.43,-123.44,482555100.0,-1232621600.0,3.0,1957.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
44,ESQUIMALT METOC CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,1012711,10967,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,44
45,FINLAYSON ARM RD,BRITISH COLUMBIA,1012883,53,,,48.5,-123.53,483000000.0,-1233200000.0,167.6,1976.0,1977.0,366.0,366.0,366.0,366.0,1.0,1.0,366.0,1.0,366.0,1.0,45
46,GALIANO ISLAND GCC,BRITISH COLUMBIA,1013045,56,,,48.9,-123.35,485400000.0,-1232100000.0,15.2,1956.0,1977.0,366.0,116.0,366.0,100.0,0.0,0.0,116.0,0.0,100.0,0.0,46
47,GANGES MANSELL RD,BRITISH COLUMBIA,1013051,57,,,48.87,-123.5,485218200.0,-1232953450.0,45.0,1974.0,2014.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
48,GALIANO ISL BURRILL PT,BRITISH COLUMBIA,10130DE,54,,,48.87,-123.32,485200000.0,-1231900000.0,1.5,1970.0,1970.0,366.0,366.0,366.0,366.0,213.0,213.0,366.0,213.0,366.0,213.0,48
49,GALIANO NORTH,BRITISH COLUMBIA,10130MN,55,,,48.99,-123.57,485906030.0,-1233424020.0,6.0,1975.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
50,GOLDSTREAM LAKE,BRITISH COLUMBIA,1013240,58,,,48.45,-123.55,482700000.0,-1233300000.0,458.7,1894.0,1953.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,50
51,GOLDSTREAM MEADOWS,BRITISH COLUMBIA,1013241,59,,,48.62,-123.53,483700000.0,-1233200000.0,64.0,1976.0,1976.0,366.0,366.0,366.0,366.0,289.0,289.0,366.0,289.0,366.0,289.0,51
52,HONEYMOON BAY NORTHWEST,BRITISH COLUMBIA,1013519,60,,,48.83,-124.19,484951000.0,-1241139000.0,170.0,1989.0,2003.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,52
53,JAMES ISLAND,BRITISH COLUMBIA,1013720,61,,,48.6,-123.35,483600000.0,-1232100000.0,53.6,1914.0,1978.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
54,JORDAN RIVER DIVERSION,BRITISH COLUMBIA,1013754,8002,,,48.5,-124.0,483000000.0,-1240000000.0,393.2,,,,,,,,,,,,,54
55,JORDAN RIVER GENERATING,BRITISH COLUMBIA,1013755,8003,,,48.42,-124.05,482500000.0,-1240300000.0,4.6,,,,,,,,,,,,,55
56,KELP REEFS,BRITISH COLUMBIA,1013998,10853,,WZO,48.55,-123.24,483251700.0,-1231413320.0,0.0,1997.0,2015.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,56
57,KILMALEE,BRITISH COLUMBIA,1014185,8004,,,48.67,-123.58,484000000.0,-1233500000.0,95.4,,,,,,,,,,,,,57
58,KUPER ISLAND,BRITISH COLUMBIA,1014430,62,,,48.97,-123.63,485800000.0,-1233800000.0,,1894.0,1905.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
59,LAKE COWICHAN,BRITISH COLUMBIA,1014493,63,,,48.82,-124.05,484900000.0,-1240300000.0,180.0,1924.0,1994.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
60,LAKE HILL,BRITISH COLUMBIA,1014495,8005,,,48.38,-123.35,482300000.0,-1232100000.0,,,,,,,,,,,,,,60
61,LANGFORD LAKE,BRITISH COLUMBIA,1014530,64,,,48.43,-123.53,482600000.0,-1233200000.0,75.0,1953.0,1983.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,61
62,LITTLE SAANICH MTN,BRITISH COLUMBIA,1014651,8006,,,48.52,-123.42,483100000.0,-1232500000.0,222.5,,,,,,,,,,,,,62
63,MALAHAT,BRITISH COLUMBIA,1014818,10730,,,48.58,-123.58,483500000.0,-1233500000.0,275.0,1991.0,1992.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,63
64,MALAHAT,BRITISH COLUMBIA,1014820,65,71774.0,WKH,48.57,-123.53,483429700.0,-1233147700.0,365.8,1920.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
65,MAYNE ISLAND,BRITISH COLUMBIA,1014930,66,,,48.85,-123.33,485100000.0,-1232000000.0,9.1,1921.0,1942.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,65
66,MAYNE ISLAND,BRITISH COLUMBIA,1014931,67,,,48.84,-123.32,485041000.0,-1231913000.0,28.0,1970.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
67,METCHOSIN,BRITISH COLUMBIA,1015105,68,,,48.37,-123.56,482228000.0,-1233339000.0,140.0,1911.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
68,METCHOSIN HAPPY VALLEY,BRITISH COLUMBIA,1015107,69,,,48.42,-123.53,482500000.0,-1233200000.0,76.0,1970.0,1998.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,68
69,METCHOSIN MOUNTAIN,BRITISH COLUMBIA,1015109,70,,,48.4,-123.53,482400000.0,-1233200000.0,91.4,1972.0,1972.0,366.0,265.0,366.0,266.0,264.0,264.0,265.0,264.0,266.0,264.0,69
70,METCHOSIN PARRY BAY,BRITISH COLUMBIA,1015111,6809,,,48.38,-123.5,482300000.0,-1233000000.0,3.0,1991.0,1995.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
71,MILL BAY KILMALU,BRITISH COLUMBIA,1015134,71,,,48.65,-123.55,483900000.0,-1233300000.0,45.7,1972.0,1983.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,71
72,MILL BAY 1 SOUTHWEST,BRITISH COLUMBIA,1015136,72,,,48.64,-123.56,483841000.0,-1233327000.0,100.0,1989.0,2006.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,72
73,MILLSTREAM,BRITISH COLUMBIA,1015150,73,,,48.48,-123.55,482900000.0,-1233300000.0,213.4,1926.0,1941.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,73
74,MILNES LANDING,BRITISH COLUMBIA,1015160,74,,,48.35,-123.73,482100000.0,-1234400000.0,38.1,1910.0,1956.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
75,MOUNT TOLMIE,BRITISH COLUMBIA,1015232,8007,,,48.47,-123.5,482800000.0,-1233000000.0,,,,,,,,,,,,,,75
76,MUIR CREEK 1W,BRITISH COLUMBIA,1015242,75,,,48.38,-123.88,482300000.0,-1235300000.0,30.0,1970.0,1986.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,76
77,NORTH COWICHAN,BRITISH COLUMBIA,1015628,76,,,48.82,-123.72,484927000.0,-1234306000.0,45.7,1981.0,2015.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,77
78,NORTH COWICHAN,BRITISH COLUMBIA,1015630,46728,71927.0,VOO,48.82,-123.72,484927010.0,-1234308009.0,44.8,2007.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
79,NORTH PENDER ISLAND,BRITISH COLUMBIA,1015638,77,,,48.76,-123.29,484550040.0,-1231712010.0,98.0,1972.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
80,PENDER ISLAND,BRITISH COLUMBIA,1016120,79,,,48.77,-123.3,484600000.0,-1231800000.0,26.2,1924.0,1999.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
81,PIERS ISLAND,BRITISH COLUMBIA,1016169,80,,,48.7,-123.42,484200000.0,-1232500000.0,17.1,1973.0,1985.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,81
82,POINT-NO-POINT,BRITISH COLUMBIA,1016203,81,,,48.41,-123.99,482421000.0,-1235929000.0,25.0,1990.0,2005.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
83,PORT RENFREW,BRITISH COLUMBIA,1016335,82,,,48.59,-124.33,483530003.0,-1241935000.0,10.0,1970.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
84,QUAMICHAN,BRITISH COLUMBIA,1016567,8008,,,48.78,-123.7,484700000.0,-1234200000.0,,,,,,,,,,,,,,84
85,RACE ROCKS,BRITISH COLUMBIA,1016640,10943,71778.0,WQK,48.3,-123.53,481752743.0,-1233153186.0,7.4,1994.0,2015.0,366.0,1.0,366.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,85
86,RACE ROCKS LIGHTSTATION,BRITISH COLUMBIA,1016641,83,,,48.3,-123.53,481800000.0,-1233200000.0,4.9,1984.0,1997.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
87,RENFREW CREEK,BRITISH COLUMBIA,1016740,8009,,,48.6,-124.35,483600000.0,-1242100000.0,,,,,,,,,,,,,,87
88,RIVER JORDAN,BRITISH COLUMBIA,1016780,84,,,48.42,-124.05,482500000.0,-1240300000.0,3.0,1908.0,1972.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
89,SAANICHTON CDA,BRITISH COLUMBIA,1016940,87,,,48.62,-123.42,483718000.0,-1232508000.0,61.0,1914.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
90,SAANICH CAMOSUN COLLEGE,BRITISH COLUMBIA,1016941,88,,,48.5,-123.42,483000000.0,-1232500000.0,38.1,1974.0,1975.0,366.0,18.0,366.0,10.0,1.0,1.0,18.0,1.0,10.0,1.0,90
91,SAANICH DENSMORE,BRITISH COLUMBIA,1016942,89,,,48.5,-123.4,483000000.0,-1232400000.0,59.0,1963.0,1992.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
92,SALTAIR,BRITISH COLUMBIA,1016980,90,,,48.97,-123.77,485800000.0,-1234600000.0,15.2,1959.0,1967.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,92
93,SALTSPRING ISLAND,BRITISH COLUMBIA,1016990,91,,,48.85,-123.5,485100000.0,-1233000000.0,73.2,1893.0,1977.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
94,SALTSPRING IS CUSHEON LK,BRITISH COLUMBIA,1016992,92,,,48.82,-123.48,484913000.0,-1232836000.0,107.9,1976.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
95,SALTSPRING ST MARY'S L,BRITISH COLUMBIA,1016995,93,,,48.89,-123.55,485317000.0,-1233247000.0,45.7,1975.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
96,SAANICH DOM ASTRO OBS,BRITISH COLUMBIA,10169DK,85,,,48.52,-123.42,483100000.0,-1232500000.0,222.5,1916.0,1977.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
97,SAANICH OLDFIELD,BRITISH COLUMBIA,10169MK,86,,,48.55,-123.42,483300000.0,-1232500000.0,69.8,1965.0,1966.0,366.0,366.0,366.0,366.0,154.0,154.0,366.0,154.0,366.0,154.0,97
98,SAANICHTON MT NEWTON,BRITISH COLUMBIA,1016RM0,78,,,48.6,-123.43,483551000.0,-1232538000.0,42.7,1980.0,2015.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,98
99,SALTSPRING VESUVIUS,BRITISH COLUMBIA,1017000,94,,,48.88,-123.57,485300000.0,-1233400000.0,7.6,1955.0,1975.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
100,SATURNA CAPMON,BRITISH COLUMBIA,1017098,95,,,48.78,-123.13,484631000.0,-1230740006.0,178.0,1989.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
101,SATURNA CAPMON CS,BRITISH COLUMBIA,1017099,6810,71914.0,VTS,48.78,-123.13,484630080.0,-1230741080.0,178.0,1991.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
102,SATURNA,BRITISH COLUMBIA,10170RF,10121,,,48.77,-123.17,484628000.0,-1231012000.0,445.0,,,,,,,,,,,,,102
103,SATURNA ISLAND,BRITISH COLUMBIA,1017100,8010,,,48.62,-123.2,483700000.0,-1231200000.0,4.3,,,,,,,,,,,,,103
104,SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,71473.0,WEZ,48.78,-123.04,484702067.0,-1230241082.0,24.4,1980.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
105,SHAWNIGAN LAKE,BRITISH COLUMBIA,1017230,97,,,48.65,-123.63,483849010.0,-1233735070.0,159.0,1911.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
106,SHAWNIGAN LAKE NORTH,BRITISH COLUMBIA,1017233,98,,,48.65,-123.63,483900000.0,-1233800000.0,149.4,1973.0,1976.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,106
107,SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,71780.0,WSP,48.38,-123.92,482236100.0,-1235515700.0,6.9,1992.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
108,SIDNEY DEEP COVE,BRITISH COLUMBIA,1017329,99,,,48.68,-123.4,484100000.0,-1232400000.0,18.3,1967.0,1973.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,108
109,SOOKE,BRITISH COLUMBIA,1017556,100,,,48.37,-123.73,482200000.0,-1234400000.0,27.4,1970.0,1992.0,366.0,1.0,366.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,109
110,SOOKE BILLINGS SPIT,BRITISH COLUMBIA,1017557,8011,,,48.38,-123.68,482300000.0,-1234100000.0,3.0,,,,,,,,,,,,,110
111,SOOKE GLINZ LAKE,BRITISH COLUMBIA,1017559,101,,,48.42,-123.63,482500000.0,-1233800000.0,256.0,1983.0,1995.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
112,SOOKE LAKE,BRITISH COLUMBIA,1017560,102,,,48.52,-123.7,483100000.0,-1234200000.0,172.8,1903.0,1966.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,112
113,SOOKE LAKE NORTH,BRITISH COLUMBIA,1017563,103,,,48.58,-123.64,483432000.0,-1233824000.0,231.0,1966.0,2011.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,113
114,SOOKE OTTER POINT,BRITISH COLUMBIA,1017570,104,,,48.37,-123.82,482200000.0,-1234900000.0,39.6,1974.0,1977.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114
115,SOOKE SASEENOS,BRITISH COLUMBIA,1017575,105,,,48.38,-123.67,482300000.0,-1234000000.0,27.4,1976.0,1979.0,366.0,366.0,366.0,366.0,1.0,1.0,366.0,1.0,366.0,1.0,115
116,SOUTH PENDER ISLAND 2,BRITISH COLUMBIA,1017610,106,,,48.75,-123.22,484500000.0,-1231300000.0,91.1,1966.0,1982.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
117,TRIAL ISLAND LIGHT STATION,BRITISH COLUMBIA,1018149,27509,,,48.4,-123.3,482400000.0,-1231800000.0,33.0,,,,,,,,,,,,,117
118,THETIS ISLAND,BRITISH COLUMBIA,1018158,8012,,,49.0,-123.67,490000000.0,-1234000000.0,,,,,,,,,,,,,,118
119,TRIAL ISLAND,BRITISH COLUMBIA,1018238,27290,71034.0,WIN,48.4,-123.3,482342200.0,-1231817670.0,23.0,1997.0,1998.0,366.0,365.0,366.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,119
120,VALDES ISLAND,BRITISH COLUMBIA,1018338,8013,,,49.07,-123.62,490400000.0,-1233700000.0,,,,,,,,,,,,,,120
121,VICTORIA AMROTH PLACE,BRITISH COLUMBIA,1018590,108,,,48.45,-123.28,482700000.0,-1231700000.0,18.3,1967.0,1969.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,121
122,VICTORIA ARDMORE,BRITISH COLUMBIA,1018592,109,,,48.63,-123.47,483800000.0,-1232800000.0,24.4,1973.0,1976.0,366.0,366.0,366.0,366.0,27.0,27.0,366.0,27.0,366.0,27.0,122
123,VICTORIA BAY STREET,BRITISH COLUMBIA,1018595,110,,,48.43,-123.37,482600000.0,-1232200000.0,13.7,1958.0,1961.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
124,VICTORIA BELMONT HOUSE,BRITISH COLUMBIA,1018597,8014,,,48.4,-123.32,482400000.0,-1231900000.0,69.5,,,,,,,,,,,,,124
